Clause,Clause Type
"notice shall deem receive deliver hand time notice deliver proper address send prepay class post second business day post nextday courier service time record courier email time transmission","Communication/Notice Clause"
"clause apply service proceeding document legal action applicable arbitration method dispute resolution","Governing Law and Jurisdiction Clause"
"agreement rise right contract right party act enforce term agreement","Integration or Entire Agreement Clause"
"agreement dispute claim include noncontractual dispute claim arise connection subject matter formation shall govern construe accordance law england wale","Governing Law and Jurisdiction Clause"
"party irrevocable agree court england wale shall exclusive jurisdiction settle dispute claim include noncontractual dispute claim arise connection agreement subject matter formation","Governing Law and Jurisdiction Clause"
"undersigned duly authorise execute agreement behalf party","Counterparts Clause"
"behalf nsk europe limit behalf company signature","Counterparts Clause"
"signature","Counterparts Clause"
"date date","Counterparts Clause"
"mutual nondisclosure conﬁdentiality agreement mutual nondisclosure conﬁdentiality agreement agreement ltd client name signature column","Non-Disclosure Clause"
"client collectively refer party individually party","Definition Clause"
"party include entity name successor assign present future corporate parent subsidiary organization control control common control party","Definition Clause"
"party disclosing party party deem receive party","Definition Clause"
"party intend enter discussion potential future business relationship b","Purpose Clause"

"order facilitate discussion party wish disclose certain conﬁdential information deﬁne agree follow deﬁnition interpretation agreement conﬁdential information mean information relate disclosing party business partner customer ﬁnancial aﬀair include detail relate software copyright respect vest disclosing party obtain receive party undertaking enter writing orally pursuant discussion personnel disclosing party b portion analysis compilation study report document prepare disclosing party contain reﬂect generate information speciﬁed paragraph c information commercially sensitive nature relate disclosing party obtain observation visit disclosing partys premise subject proviso set clause","Purpose and Scope Clause"
"disclose party mean party conﬁdential information disclose receive party personnel mean staﬀ employee director oﬃcer professional advisor party purpose mean discussion negotiation relate potential agreement party hereto particularly set recital","Definitions Clause"
"receive party mean party receipt conﬁdential information commitment","Definitions Clause"
"consideration party agree supply party conﬁdential information purpose consideration mutual undertaking set party separately agree irrevocably undertake use conﬁdential information purpose act accordance term condition hereinafter contain","Consideration Clause"
"disclosure conﬁdential information disclosing party receive party shall way construe imply transfer right connect conﬁdential information include limitation trade mark business secret","No Transfer of Rights Clause"
"receive partys obligation respect conﬁdential information available disclosing party pursuant agreement shall continue notwithstanding termination purpose","Survival Clause"
"safekeepe receive party shall treat safeguard private conﬁdential conﬁdential information reasonable precaution deal conﬁdential information prevent party have access conﬁdential information","Confidentiality Obligation Clause"
"limited internal dissemination receive party shall disclose reveal conﬁdential information disclose personnel require course duty receive consider far necessary fulﬁl purpose","Permitted Disclosure Clause"
"prior disclosure conﬁdential information personnel receive party shall inform conﬁdential nature material provision conﬁdentiality undertaking obtain write conﬁrmation acceptance term","Prior Disclosure Clause"
"nondisclosure party save permit receive party shall shall procure personnel time disclosing party prior write consent disclose conﬁdential information party directly indirectly b disclose person fact discussion negotiation take place party ii content discussion negotiation iii term condition fact respect purpose iv conﬁdential information request receive require law order ruling court tribunal regulatory body recognise stock exchange competent jurisdiction case receive party require disclose conﬁdential information shall prohibit notify disclosing party promptly writing fact event prior make disclosure","Non-Disclosure and Permitted Disclosure Clause"
"discussion authorise representative understand communication party discussion request additional information meeting question submit direct authorise representative party exclusion conﬁdential information term condition apply conﬁdential information public domain public knowledge mean breach receive party personnel obligation contain b previously time disclose receive party party have right disclose provide source know receive party bind conﬁdentiality agreement obligation secrecy disclosing party c release provision undertaking prior write consent give director authorise representative disclosing party d independently acquire develop receive party violate obligation hereunder","Exclusions from Confidentiality Clause"
"return conﬁdential information receive party shall immediately receipt notice eﬀect return disclosing party conﬁdential information include copy hold b destroy portion copy analysis compilation study report document prepare use contain reﬂecte generate conﬁdential information c expunge destroy conﬁdential information computer word processor device possession custody control contain information","Return and Destruction Clause"
"responsibility information provide receive party understand acknowledge disclosing party personnel make representation warranty express imply accuracy completeness conﬁdential information disclosing party personnel liability receive party person result use conﬁdential information","Disclaimer of Warranties Clause"
"breach undertake party acknowledge agree damage adequate remedy breach undertaking disclosing party shall entitle remedy injunction speciﬁc performance equitable relief threatened actual breach undertaking","Remedies and Damages Clause"
"notice notice communication give agreement shall writing english sign behalf party give representative shall deliver hand address send fax fax number give clause address fax number receive party speciﬁe send party business day notice","Notice Clause"
"notice communication give agreement shall absence early receipt deem receive follow deliver hand time date actual delivery b send fax conﬁrme receipt transmission receive machine day transmit provide notice deem receive day business day hour place receipt shall instead deem receive business day commencement normal business hour place receipt","Notice Clause"
"provision clause shall apply relation service document","General Provision Clause"
"counterpart agreement execute number counterpart party separate counterpart original constitute instrument","Counterparts Clause"
"term condition shall govern construe respect accordance law england","Governing Law Clause"
"jurisdiction party irrevocably agree english court shall exclusive jurisdiction settle dispute arise connection agreement","Jurisdiction Clause"
"party agree waive objection english court ground venue ground forum appropriate","Jurisdiction Clause"
"sign party duly authorise representative ltd client suite equity chamber high street north poole address","Execution Clause"
"sign mateusz stanuszek eﬀective date","Execution Clause"
"oisair project twoway confidentiality nondisclosure agreement sign electronically innovair platform","Execution Clause"
"confidentiality nondisclosure agreement hereinafter refer agreement date","Introductory Clause"
"effective date research institution register office locate tax registration represent legal capacity","Introductory Clause"
"hereinafter refer company register office locate","Introductory Clause"
"tax registration represent legal capacity","Introductory Clause"
"hereinafter refer","Introductory Clause"
"party hereinafter collectively refer party individually party","Definitions Clause"
"party willing exchange confidential information form certain scientific technical commercial information include confidential proprietary material relate field receive party use confidential information sole consideration assess enter potential propose business collaboration disclosing party joint development technology permit purpose subject term condition agreement","Purpose Clause"
"definition interpretation agreement follow term respective meaning confidential information shall mean scientific research technical business information pertain field include limit invention knowhow trade secret technique process design drawing product design formulae analysis business information include limit price list customer list cost analysis report survey market information datum","Definitions Clause"
"respect confidential information disclose documentary form model tangible form shall mark disclosing party confidential designate expressly necessary implication impart confidence","Marking and Identification Clause"
"confidential information disclose disclosing party representative orally visually shall identify prior disclosure summarize writing provide disclosing party receive party thirty day date initial disclosure","Identification of Confidential Information Clause"
"case disagreement say summary receive party shall objection write thirty day receipt write summary","Dispute Resolution Clause"
"disclose party shall mean party disclose confidential information directly indirectly receive party relation agreement","Definitions Clause"
"receive party shall mean party receive confidential information directly indirectly disclosing party","Definitions Clause"
"representative shall mean director employee professional advisor involve party professional business capacity","Definitions Clause"
"exclusion obligation confidentiality set agreement shall apply confidential information know receive party prior disclosure disclosing party evidence documentary physical evidence b public knowledge time disclosure receive party public knowledge disclosure action omission behalf receive party c lawfully disclose available receive party party have obligation disclosing party maintain confidentiality information d independently develop derive receive party aid application use information furnish disclosing party evidence documentary physical evidence e disclose write consent disclosing party f require disclose order governmental agency legislative body court competent jurisdiction","Exclusions from Confidentiality Clause"
"obligation confidentiality nonuse receive party undertake agree","Confidentiality Obligation Clause"

"proper reasonable measure ensure secrecy confidential information b disclose allow disclose party prior write consent disclosing party c use confidential information permit purpose","Obligations Clause"
"d use confidential information commercial use person party prior write consent disclosing party e copy confidential information format prior write authorisation disclosing party f alter modify disassemble reverse engineer decompile confidential information g apply patent trademark include confidential information","Obligations Clause"
"disclosure representative party shall use degree care receive party normally exercise protect information like character importance event reasonable care","Disclosure to Representatives Clause"
"receive party undertake permit access confidential information representative employee require access information solely fulfilment permit purpose furnish needtoknow basis condition person aware term agreement obligation disclosing party right confidential information","Disclosure to Representatives Clause"
"receive party shall responsible ensure representative comply term agreement","Obligations Clause"
"return information property receive party acknowledge agree confidential information remain property disclosing party","No License/No Implied Rights Clause"
"receive party end agreement seven day follow write instruction disclosing party return destroy confidential information receiving party possession custody control","Return or Destruction of Information Clause"
"receive party retain copy confidential information store securely legal representative require regulatory insurance purpose event confidentiality nonuse provision agreement remain place respect retain confidential information","Return or Destruction of Information Clause"
"return destruction confidential information diminish affect obligation agreement","Return or Destruction of Information Clause"
"imply right agreement shall grant construe grant right whatsoever scope permit purpose confidential information receive party","No License/No Implied Rights Clause"
"include limit license patent copyright","No License/No Implied Rights Clause"
"warranty express imply give accuracy completeness confidential information provide disclosing party","Obligations Clause"
"obligation agreement impose contractual obligation party enter separate business collaboration development field associated technology","Obligations Clause"
"disclosing party oblige disclose confidential information receive party receive party shall right refuse accept information prior disclosure","Obligations Clause"
"breach event breach threaten breach term agreement receive party disclosing party entitle seek injunction final interlocutory restrain receive party commit breach breach agreement requirement demonstrate actual damage sustain disclosing party","Breach and Remedies Clause"
"integration agreement constitute entire understanding party concern treatment information agreement relate","Integration or Entire Agreement Clause"
"modification agreement shall bind party agree writing sign party","Integration or Entire Agreement Clause"
"duration agreement shall terminate year effective date termination date","Term and Termination Clause"
"notwithstanding party terminate involvement agreement give thirty day write notice register letter proof receipt party","Term and Termination Clause"
"termination agreement shall affect obligation impose agreement respect confidential information disclose prior termination obligation nonuse nondisclosure confidential information shall survive year date disclosure confidential information","Term and Termination Clause"
"term agreement end disclosing party relinquish right copyright patent intellectual property law","No License/No Implied Rights Clause"
"agreement counterpart agreement shall execute identical counterpart shall deem original take shall deem constitute agreement duly authorised representative party sign counterpart","Counterparts Clause"
"applicable law jurisdiction agreement shall govern construe accordance law republic italy regard italys conflict law rule","Governing Law and Jurisdiction Clause"
"dispute claim arise connection agreement shall submit sole competence jurisdiction ordinary court trieste","Governing Law and Jurisdiction Clause"
"successor assign party agree agreement subsequent amendment shall bind successor title assign undertake necessary step ensure bound","Successors and Assigns Clause"
"party agreement create right enforceable person party","Third-Party Rights Clause"
"communication notice communication give party connection agreement shall send fax confirmation register certify mail courier service address party address set forth party address","Communication/Notice Clause"
"attention contact party address","Communication/Notice Clause"
"attention contact address party time time notify writing party case change address","Communication/Notice Clause"
"communication deem effective date receipt","Communication/Notice Clause"
"secrecy existence agreement disclose party","Secrecy of Agreement Clause"
"forbid oral andor write disclosure advertising publication kind external communication agreement force potential cooperation subsequently negotiate prior write authorisation party","Secrecy of Agreement Clause"
"agree party authorise signatory behalf party sign date behalf party sign date","Other Clauses"
"nonnegotiable confidentiality nondisclosure agreement","Non-Disclosure Clause"
"transportation challenge confidentiality nondisclosure agreement agreement enter refer vendor boston public schools washington street roxbury ma bps party entity city boston hereinafter party agreement","Other Clauses"
"agreement refer transportation datum challenge post bps website place april june","Other Clauses"
"event describe great detail transportation challenge overview document available bps website httpwwwbostonpublicschoolsorgtransportationchallenge","Other Clauses"
"party wish confirm understanding respect nature relationship party relate confidential transmission use protection certain student route information bps authorize vendor employee andor representative access certain directory student route information portion year purpose support bps improve route calculation support creation equitably efficiently balanced school bell time vendor employee andor representative agree understand bps provide vendor certain directory student route information subject term agreement bps deem work interest value bps contribute educational professional goal bps vendor bps desire cooperate connection provision solution","Other Clauses"
"consideration mutual covenant set forth good valuable consideration receipt acknowledge vendor bps agree follow definition vendor employee andor representative","Other Clauses"
"individual person organization identify receive utilize confidential information applicable relate challenge employee representative disclose approve bps sign agreement prior commence work engage participation transportation datum challenge","Other Clauses"
"bps reserve right request proof copy sign agreement vendor employee representative time reason","Other Clauses"


"vendor acknowledge course provide service bps student vendor employee representative give access certain directory routing confidential student information confidential information typically protect disclosure prior consent law include family educational right privacy act ferpa usc g et seq cfr et seq cmr et seq","Confidentiality Clause"
"vendor acknowledge agree comply fully federal state privacy student record confidentiality law","Confidentiality Clause"
"vendor employee andor representative hold confidential information trust bpss benefit shall addition respective obligation hereunder use good effort time adopt follow procedure practice protect confidentiality confidential information prevent disclosure express write consent bps","Obligations Clause"
"vendor acknowledge bpss willingness disclose confidential information vendor predicate vendor enter commit abide fully term agreement applicable law regulation","Obligations Clause"
"datum set include city boston student eligible school bus transportation boston public school","Definition Clause"
"dataset specific student information change slightly protect student confidentiality","Definition Clause"
"district share datum potentially datum deem necessary helpful","Obligations Clause"
"specifically student home location address b latitude longitude student characteristic school assignment b ridership status ie corner stop doortodoor wheelchair c grade","Definition Clause"
"bus stop location corner intersection b latitude longitude","Definition Clause"
"survey datum relate school preference start time note vendor provide student correspond name nondirectory information require consent pursuant cmr","Definition Clause"
"vendor shall maintain administer secure database database delivery evaluation information reporting purpose","Obligations Clause"
"vendor use secure database manage share route datum","Obligations Clause"
"database meet government datum management security protocol incorporate security feature platform ensure privacy confidentiality maintain provide party key information require understand impact","Obligations Clause"
"vendor employee andor representative shall responsible transmit datum record datum request receive pursuant agreement include confirmation return destruction datum describe","Obligations Clause"
"reasonable security precaution protection include limit creating distribute implement data governance policy procedure protect confidential information appropriate administrative technical physical security safeguard outline staff responsibility maintain datum security","Obligations Clause"
"b potentially encrypt confidential information carry mobile computerselectronicdevice c potentially encrypt confidential information transmit electronically","Obligations Clause"
"d require user uniquely identify authenticate access confidential information","Obligations Clause"
"e establish enforce welldefine datum privilege right restrict user access confidential information necessary perform job function","Obligations Clause"
"f ensure person access confidential information sign confidentiality agreement maintain copy sign agreement","Obligations Clause"
"g secure access physical areaselectronic device sensitive datum store","Obligations Clause"
"h instal firewall permit deny network transmission base set rule","Obligations Clause"
"instal antivirus software protect network","Obligations Clause"

"agreement construe allow party maintain use disclose share confidential information manner allow federal state law regulation outside scope agreement","Confidentiality Clause"
"authorize vendor shall strictly comply federal state law apply use release confidential information include limit ferpa regulation set forth cfr","Confidentiality Clause"
"vendor employee andor representative shall use confidential information route datum solely connection performance vendor service provide bps outline agreement pursuant challenge document purpose","Obligations Clause"
"vendor employee andor representative shall sell release transfer reprint duplicate recreate disclose permit disclosure person entity confidential information file compilation study report analysis datum base contain base derive confidential information express write consent bps compliance applicable state federal privacy law","Obligations Clause"
"vendor shall maintain privacy protect personal information shall financially responsible extent security breach relate protect personal information result act omission vendor employee andor representative notification affected person prompt consultation bps extent request bps administratively responsible notification","Obligations Clause"
"vendor shall protect confidential information shall permit release information party bps official authorized agent","Obligations Clause"
"background check vendor employee andor representative acknowledge bps reserve right conduct appropriate background check participant access confidential information pursuant agreement","Obligations Clause"
"disclosure seek legal process","Disclosure to Representatives Clause"
"vendor shall immediately notify bps writing subpoena court order legal process seek purport compel disclosure confidential information shall challenge oppose appeal subpoena order legal process extent deem appropriate bps","Disclosure to Representatives Clause"
"event shall vendor voluntarily court order disclose permit disclosure confidential information response legal process vendor give require notice bps vendor exhaust legal remedy available limit prevent disclosure","Disclosure to Representatives Clause"
"notice follow bps representative shall notify occurrence outline agreement require william eger title strategic project manager email","Communication/Notice Clause"
"wegerbostonpublicschoolsorg phone number office location","Communication/Notice Clause"
"bolle building washington street roxbury ma","Communication/Notice Clause"
"return destruction material","Return or Destruction of Information Clause"
"request bps time vendor shall return confidential information bps designate return","Return or Destruction of Information Clause"
"addition completion service provide vendor bps outline agreement vendor shall return destroy bps instruct confidential information vendor possession control print electronic format include duplicate copy thereof file compilation study report analysis datum base contain base derive confidential information","Return or Destruction of Information Clause"
"bps right report present publish use datum produce receive vendor","Obligations Clause"
"acceptable disclosure include limit disclosure aggregate deidentified datum report presentation include grant reporting purpose disclosure aggregate de identify datum vendor public entity community base organization use aggregate deidentified datum program planning evaluation research relate bpi initiative","Obligations Clause"
"vendor shall publish present use report explicit write consent bps","Obligations Clause"
"bps right review require approval publicly report document prior release","Obligations Clause"
"disclosure breach penalty","Breach and Remedies Clause"
"vendors disclosure confidential information party bpss authorization vendor failure sign comply agreement return destroy confidential information provision constitute breach agreement result bps department education deny vendor access confidential information penalty dictate law equity","Breach and Remedies Clause"
"vendor acknowledge agree breach threaten breach vendor employee andor representative obligation agreement cause irreparable harm bps adequately compensate monetary damage bps seek injunctive relief appropriate court protect bps harm necessity bond security","Breach and Remedies Clause"
"vendor shall bps immediate write verbal notice unauthorized use disclosure confidential information breach threaten breach vendor employee andor representative obligation agreement learning","Breach and Remedies Clause"
"vendor bps agree agreement enter state massachusetts court locate state massachusetts appropriate forum event party seek legal action injunctive relief agreement","Governing Law and Jurisdiction Clause"
"party consent venue personal jurisdiction appropriate court state massachusetts","Governing Law and Jurisdiction Clause"
"bps terminate agreement vendor time reason write verbal notice","Term and Termination Clause"
"vendor designated bps representative write verbal notice termination agreement bps","Term and Termination Clause"
"termination agreement affect partys obligation duty right impose grant separate instrument grant contract","Term and Termination Clause"
"exempt law vendor shall indemnify hold harmless city boston boston public school department agent officer employee claim liability cost damage city sustain arise connection vendor performance agreement include limit negligent reckless intentional conduct vendor employee andor representative officer related personnel","Obligations Clause"
"prompt notification claim city vendor shall opportunity participate defense claim negotiate settlement agreement judgment","Obligations Clause"
"city department shall liable cost incur vendor arise paragraph","Obligations Clause"
"indemnification vendor shall subject appropriation applicable law","Obligations Clause"
"indemnification specifically include limit claim relate indemnifying party improper sharing datum ii improper use datum indemnify party indemnifying partys employee agent officer volunteer related personnel iii breach indemnifying party system","Obligations Clause"
"vendor employee andor representative shall construe deem hold employee agent officer bps","Obligations Clause"
"vendor employee andor representative shall entitle compensation benefit ordinarily accrue employee bps","Obligations Clause"
"shall create deem create relationship agency association joint venture partnership define law employeremployee bps vendor employee representative","Obligations Clause"
"party shall authority bind obligate manner expressly provide agreement","Obligations Clause"
"party attention call general law c conflict interest law","Obligations Clause"
"party shall act collusion party person entity circumvent law","Obligations Clause"
"party agree activity pursuant agreement shall accordance agreement applicable current future federal state local law applicable rule regulation","Obligations Clause"
"agreement shall survive termination service provide vendor agreement party","Term and Termination Clause"
"provision agreement severable","Integration or Entire Agreement Clause"
"provision agreement render invalid unenforceable state federal statute regulation declare null void court competent jurisdiction remain provision agreement remain force effect","Integration or Entire Agreement Clause"
"agreement intend complete final exclusive statement party respect subject matter hereof supersede prior agreement understanding party hereto","Integration or Entire Agreement Clause"
"agreement amend modify supplement write agreement sign vendor bps","Integration or Entire Agreement Clause"
"waiver term condition agreement writing sign party grant waiver shall operate waiver estoppel respect subsequent failure perform","Integration or Entire Agreement Clause"
"witness whereof intend legally bind party execute agreement duly authorize representative","Counterparts Clause"
"boston public schools bps signature date print","Counterparts Clause"

"vendor individual individual particular vendor work data require submit sign nda","Non-Disclosure Clause"
"confidentiality sensitive information nondisclosure agreement","Non-Disclosure Clause"
"nondisclosure agreement enter united states department veterans affair va","Non-Disclosure Clause"
"va contractor enter contract contractor","Definition Clause"
"contractor contracting company mmddyyyy enter identify information contract enter task contractor perform","Definition Clause"
"order perform contract contractor need access va data software computer system va location contractor place business accordance contract","Obligations Clause"
"sign agreement contractor acknowledge understand follow","Obligations Clause"
"contractor subcontractor shall presume va computer system storage medium contractor subcontractor access sensitive information application modification disclosure cause significant harm embarrassment va beneficiary employee vas ability perform mission","Confidentiality Clause"
"security requirement access handling store va datum system specify contract contractor comply contractual security requirement","Obligations Clause"
"contract contain requirement contractor handle va property degree care reasonable degree care prevent unauthorized access use dissemination publication destruction contractor use protect sensitive information system","Obligations Clause"
"va information software application computer system hardware access contractor performance contract remain sole property va","Return or Destruction of Information Clause"
"extent software application va system protect copyright contractor agree copy disclose obtain vas prior write authorization provide authorize applicable copyright law","No License/No Implied Rights Clause"
"contractor contractor employee subcontractor subcontractor employee access va information software application computer system hardware va provide provide access extent necessary purpose perform contract","Obligations Clause"
"contractor reasonable step ensure allow contractor subcontractor employee need va material order perform contract","Obligations Clause"
"agreement apply va system datum contractor access disclose contractor","Confidentiality Clause"
"va form sep rs page confidentiality sensitive information nondisclosure agreement e","Non-Disclosure Clause"
"contractor authorize access disclose modify destroy information software application va system provide access contract vas prior write authorization","Obligations Clause"
"contractor employee shall copy va information include software application copyright necessary restore va computer system datum storage device operate state","Return or Destruction of Information Clause"
"copy contractor subcontractor shall identify va property handle sensitive information nondisclosure agreement","Non-Disclosure Clause"
"information contractor employee learn va datum va computer system shall record extent necessary perform contract information record shall handle sensitive information agreement","Obligations Clause"
"contractor use disclose contractor permit use disclose va sensitive information contract nondisclosure agreement","Obligations Clause"
"contractor disclose va sensitive information person performance contract authorize contract agreement situation pursuant order court competent jurisdiction vas prior write authorization","Disclosure to Representatives Clause"
"prior disclosure pursuant court order contractor shall promptly notify va court order provide va copy fax email whichever fast notify telephone va individual designate advance receive notice","Communication/Notice Clause"
"contractor notify va compel produce information court order contractor notify va disclosure soon practical","Communication/Notice Clause"
"notice provision include follow information extent contractor know face court order record disclose pursuant order purpose information contractor reasonably believe relevant disclosure","Communication/Notice Clause"
"contractor refer request demand production access va datum system va response","Communication/Notice Clause"
"contractor immediately inform va telephone fax andor email access disclosure disposition destruction va datum system authorize contract agreement","Communication/Notice Clause"
"extent know contractor notify va information disclose reason access disclosure disposition destruction information contractor consider relevant","Communication/Notice Clause"
"va provide contractor title telephone number fax number email address va official contractor notify record request seek court order unauthorized access modification disposition destruction va sensitive information computer system occur","Communication/Notice Clause"
"j contractor employee subcontractor employee cooperate va law enforcement authority response investigation prosecution possible criminal law violation associate unauthorized access disclosure disposition destruction va property","Obligations Clause"
"contractor cooperate va civil litigation recover va property obtain monetary compensation party obtain injunctive relief party access modify disclose destroy va sensitive datum computer system authorize contract agreement","Obligations Clause"
"va form sep rs page confidentiality sensitive information nondisclosure agreement k completion termination contract reason contractor immediately deliver va record datum copy va record datum software equipment information va datum system record document contractor possession possession subcontractor va official designate contract pursuant agreement","Return or Destruction of Information Clause"
"contractor retain copy document","Return or Destruction of Information Clause"

"l addition modification agreement writing sign party","Amendment Clause"
"agreement shall govern law united states","Governing Law Clause"
"security contractor personnel perform work contract shall satisfy requirement appropriate security eligibility deal access sensitive information information system belong behalf va","Security Clause"
"satisfy va requirement procedure define va directive handbook personnel suitability security program require","Security Clause"
"investigative history contractor personnel work contract maintain database office personnel management opm defense industrial security clearance organization disco","Security Clause"
"contractor use vendor opm defense security service dss conduct investigation investigative company certify opmdss conduct contractor investigation","Security Clause"
"c cost associate obtain clearance contractor provide personnel responsibility contractor","Obligations Clause"
"contractor responsible action individual provide work va contract","Obligations Clause"
"event damage arise work perform contractor provide personnel auspex contract contractor responsible resource necessary remedy incident","Liability Clause"
"contractor warrant represent contractorsupplied software key software contain program routine device code instruction include code instruction provide party undisclosed feature include limitation time bomb virus software lock dropdead device malicious logic worm trojan horse bug error defect trap door capable access modifying delete damaging disable deactivate interfere harm contractor software computer network datum electronically store information computer program system collectively disable procedure","Warranty Clause"
"representation warranty apply regardless disable procedure authorize contractor include contractor software","Warranty Clause"
"va form sep rs page confidentiality sensitive information nondisclosure agreement","Non-Disclosure Clause"
"contractor incorporate contractor software program routine supply vendor licensor contractor key software contractor shall obtain comparable warranty provider contractor shall appropriate action ensure program routine free disable procedure","Warranty Clause"
"notwithstanding limitation agreement contractor agree notify va immediately discovery disable procedure include contractor software","Obligations Clause"
"disable procedure discover reasonably suspect present contractor software contractor entire liability vas sole exclusive remedy breach warranty section agree action immediately expense identify eradicate equip va identify eradicate disable procedure carry recovery necessary remedy impact disable procedure","Warranty Clause"
"federal acquisition regulation clause warranty supply complex nature incorporate va form","Warranty Clause"
"clause acceptance mean act authorized representative government government assume agent ownership exist identify supply approve specific service render partial complete performance contract","Definition Clause"
"supply mean end item furnish contractor related service require contract","Definition Clause"
"word include datum b contractor obligation","Definition Clause"
"contractor warrant year supply furnish contract free defect material workmanship conform requirement contract provide respect governmentfurnishe property contractor warranty shall extend proper installation contractor perform modification work property case contractor warranty shall extend modification work","Warranty Clause"
"supply part thereof correct furnish replacement shall subject condition clause extent supply initially deliver","Warranty Clause"
"warranty shall equal duration set forth paragraph clause shall run date delivery correct replace supply","Warranty Clause"
"contractor shall obligate correct replace supply facility tooling drawing equipment supply necessary accomplish correction replacement unavailable contractor action government","Warranty Clause"
"event correction replacement direct contractor shall promptly notify contracting officer writing nonavailability","Communication/Notice Clause"
"contractor shall prepare furnish government datum report applicable correction require include revision updating affect datum call contract increase contract price","Reporting Clause"
"supply return contractor contractor shall bear transportation cost place delivery specify contract irrespective fob point point acceptance contractor plant return","Obligations Clause"
"imply warranty merchant ability fitness particular purpose exclude obligation contain contract","Warranty Disclaimer Clause"
"c remedy available government","Remedies Clause"
"event breach contractor warranty paragraph clause government increase contract price require contractor place delivery specify contract irrespective fo b point point acceptance contractor plant repair replace contractor election defective nonconforming suppie ii require contractor furnish contractor plant material part installation instruction require successfully accomplish correction","Remedies Clause"
"contracting officer require correction replacment defective nonconforming supply contractor obligate correct replace paragraph clause government shall entitle va form sep rs page confidentiality sensitive information nondisclosure agreement equitable reduction contract price","Remedies Clause"
"contracting officer shall notify contractor writing breach warranty paragraph b clause day discovery defect intrusion","Communication/Notice Clause"
"contractor shall submit contracting officer write recommendation work day corrective action require remedy breach","Reporting Clause"
"notice breach later work day receipt contractor recommendation corrective action contracting officer write direct correction replacement paragraph clause contractor shall notwithstanding disagreement existence breach warranty comply direction","Communication/Notice Clause"
"later determined contractor breach warranty paragraph clause contract price equitably adjust","Remedies Clause"
"supply correct replace period notification breach contractor warranty paragraph clause shall year furnishing return contractor government correct replace supply part thereof correction replacement effect contractor government activity year","Warranty Clause"
"right remedy government provide clause addition limit right afford government clause contract","Remedies Clause"
"department veterans affairs signature date print print title contractor signature date print print title va form sep rs page","Signature Clause"
